,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.639,0.865,1,-5.01,1,0.0357,0.00462,1.26e-06,0.208,0.611,124.01,audio_features,2cFK03sObtI6AK3QKeOT5g,spotify:track:2cFK03sObtI6AK3QKeOT5g,https://api.spotify.com/v1/tracks/2cFK03sObtI6AK3QKeOT5g,https://api.spotify.com/v1/audio-analysis/2cFK03sObtI6AK3QKeOT5g,213000,4
1,0.74,0.674,11,-4.374,1,0.0476,0.00903,0.238,0.154,0.231,126.017,audio_features,1XFHbzTikXks9CsMq4v8Q3,spotify:track:1XFHbzTikXks9CsMq4v8Q3,https://api.spotify.com/v1/tracks/1XFHbzTikXks9CsMq4v8Q3,https://api.spotify.com/v1/audio-analysis/1XFHbzTikXks9CsMq4v8Q3,153697,4
2,0.753,0.912,8,-2.636,0,0.108,0.145,0.0,0.346,0.702,124.062,audio_features,45Zx6DyqGKKmvfxfzRUtKl,spotify:track:45Zx6DyqGKKmvfxfzRUtKl,https://api.spotify.com/v1/tracks/45Zx6DyqGKKmvfxfzRUtKl,https://api.spotify.com/v1/audio-analysis/45Zx6DyqGKKmvfxfzRUtKl,158710,4
3,0.795,0.846,0,-4.574,1,0.058,0.00173,0.208,0.0399,0.634,103.01,audio_features,2crjvHWgBHhVMJmadsS946,spotify:track:2crjvHWgBHhVMJmadsS946,https://api.spotify.com/v1/tracks/2crjvHWgBHhVMJmadsS946,https://api.spotify.com/v1/audio-analysis/2crjvHWgBHhVMJmadsS946,188738,4
4,0.636,0.9,5,-4.234,0,0.0953,0.00103,0.000125,0.231,0.367,127.985,audio_features,03VEuVRCyngKdPnSMPiY2S,spotify:track:03VEuVRCyngKdPnSMPiY2S,https://api.spotify.com/v1/tracks/03VEuVRCyngKdPnSMPiY2S,https://api.spotify.com/v1/audio-analysis/03VEuVRCyngKdPnSMPiY2S,278278,4
5,0.481,0.944,4,-2.618,0,0.0426,0.00328,0.00142,0.297,0.326,144.803,audio_features,7zn8XbHMzo8JRsxSsh4VaR,spotify:track:7zn8XbHMzo8JRsxSsh4VaR,https://api.spotify.com/v1/tracks/7zn8XbHMzo8JRsxSsh4VaR,https://api.spotify.com/v1/audio-analysis/7zn8XbHMzo8JRsxSsh4VaR,172478,4
6,0.736,0.928,0,-7.155,1,0.0432,0.0451,0.00123,0.0996,0.805,122.0,audio_features,17We9iIts3e2NqvpsmwL1p,spotify:track:17We9iIts3e2NqvpsmwL1p,https://api.spotify.com/v1/tracks/17We9iIts3e2NqvpsmwL1p,https://api.spotify.com/v1/audio-analysis/17We9iIts3e2NqvpsmwL1p,175205,4
7,0.637,0.868,1,-4.921,0,0.0555,0.0426,2.12e-05,0.288,0.444,100.048,audio_features,5k1uIPpsHmnbWFr4nbpdYb,spotify:track:5k1uIPpsHmnbWFr4nbpdYb,https://api.spotify.com/v1/tracks/5k1uIPpsHmnbWFr4nbpdYb,https://api.spotify.com/v1/audio-analysis/5k1uIPpsHmnbWFr4nbpdYb,160907,4
8,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
9,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
10,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
11,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
12,0.683,0.896,3,-4.759,1,0.122,0.125,0.287,0.0938,0.296,127.991,audio_features,23xtuubzgbV2UCKepN0h84,spotify:track:23xtuubzgbV2UCKepN0h84,https://api.spotify.com/v1/tracks/23xtuubzgbV2UCKepN0h84,https://api.spotify.com/v1/audio-analysis/23xtuubzgbV2UCKepN0h84,153652,4
13,0.625,0.939,8,-4.06,1,0.107,0.00768,0.888,0.0963,0.258,126.03,audio_features,3y4QmC8lSWMwsTpR3jYjju,spotify:track:3y4QmC8lSWMwsTpR3jYjju,https://api.spotify.com/v1/tracks/3y4QmC8lSWMwsTpR3jYjju,https://api.spotify.com/v1/audio-analysis/3y4QmC8lSWMwsTpR3jYjju,152500,4
14,0.616,0.892,4,-4.688,0,0.0462,0.00214,0.000186,0.227,0.235,129.991,audio_features,1geovaCdfs5fSa4NNgFPVe,spotify:track:1geovaCdfs5fSa4NNgFPVe,https://api.spotify.com/v1/tracks/1geovaCdfs5fSa4NNgFPVe,https://api.spotify.com/v1/audio-analysis/1geovaCdfs5fSa4NNgFPVe,203769,4
15,0.639,0.865,1,-5.01,1,0.0357,0.00462,1.26e-06,0.208,0.611,124.01,audio_features,2cFK03sObtI6AK3QKeOT5g,spotify:track:2cFK03sObtI6AK3QKeOT5g,https://api.spotify.com/v1/tracks/2cFK03sObtI6AK3QKeOT5g,https://api.spotify.com/v1/audio-analysis/2cFK03sObtI6AK3QKeOT5g,213000,4
16,0.616,0.892,4,-4.688,0,0.0462,0.00214,0.000186,0.227,0.235,129.991,audio_features,1geovaCdfs5fSa4NNgFPVe,spotify:track:1geovaCdfs5fSa4NNgFPVe,https://api.spotify.com/v1/tracks/1geovaCdfs5fSa4NNgFPVe,https://api.spotify.com/v1/audio-analysis/1geovaCdfs5fSa4NNgFPVe,203769,4
17,0.616,0.892,4,-4.688,0,0.0462,0.00214,0.000186,0.227,0.235,129.991,audio_features,1geovaCdfs5fSa4NNgFPVe,spotify:track:1geovaCdfs5fSa4NNgFPVe,https://api.spotify.com/v1/tracks/1geovaCdfs5fSa4NNgFPVe,https://api.spotify.com/v1/audio-analysis/1geovaCdfs5fSa4NNgFPVe,203769,4
18,0.481,0.944,4,-2.618,0,0.0426,0.00328,0.00142,0.297,0.326,144.803,audio_features,7zn8XbHMzo8JRsxSsh4VaR,spotify:track:7zn8XbHMzo8JRsxSsh4VaR,https://api.spotify.com/v1/tracks/7zn8XbHMzo8JRsxSsh4VaR,https://api.spotify.com/v1/audio-analysis/7zn8XbHMzo8JRsxSsh4VaR,172478,4
19,0.481,0.944,4,-2.618,0,0.0426,0.00328,0.00142,0.297,0.326,144.803,audio_features,7zn8XbHMzo8JRsxSsh4VaR,spotify:track:7zn8XbHMzo8JRsxSsh4VaR,https://api.spotify.com/v1/tracks/7zn8XbHMzo8JRsxSsh4VaR,https://api.spotify.com/v1/audio-analysis/7zn8XbHMzo8JRsxSsh4VaR,172478,4
20,0.622,0.89,4,-1.752,0,0.0559,0.0638,0.587,0.208,0.444,132.043,audio_features,0udJp6yEkr4Mevoz6Q3aCx,spotify:track:0udJp6yEkr4Mevoz6Q3aCx,https://api.spotify.com/v1/tracks/0udJp6yEkr4Mevoz6Q3aCx,https://api.spotify.com/v1/audio-analysis/0udJp6yEkr4Mevoz6Q3aCx,163636,4
21,0.736,0.928,0,-7.155,1,0.0432,0.0451,0.00123,0.0996,0.805,122.0,audio_features,17We9iIts3e2NqvpsmwL1p,spotify:track:17We9iIts3e2NqvpsmwL1p,https://api.spotify.com/v1/tracks/17We9iIts3e2NqvpsmwL1p,https://api.spotify.com/v1/audio-analysis/17We9iIts3e2NqvpsmwL1p,175205,4
22,0.646,0.943,2,-2.727,1,0.0539,0.00565,0.57,0.5,0.315,127.961,audio_features,3rjpbNUjXqf92AfTCvsM4h,spotify:track:3rjpbNUjXqf92AfTCvsM4h,https://api.spotify.com/v1/tracks/3rjpbNUjXqf92AfTCvsM4h,https://api.spotify.com/v1/audio-analysis/3rjpbNUjXqf92AfTCvsM4h,135486,4
23,0.804,0.627,9,-4.581,1,0.0502,0.0336,0.000141,0.114,0.172,129.978,audio_features,4L6rTjwwoqfOCn42JCAzDf,spotify:track:4L6rTjwwoqfOCn42JCAzDf,https://api.spotify.com/v1/tracks/4L6rTjwwoqfOCn42JCAzDf,https://api.spotify.com/v1/audio-analysis/4L6rTjwwoqfOCn42JCAzDf,223692,4
24,0.564,0.801,6,-5.081,1,0.418,0.246,0.0,0.221,0.679,114.968,audio_features,1CoYysyP3yJMEmG3b6fm5T,spotify:track:1CoYysyP3yJMEmG3b6fm5T,https://api.spotify.com/v1/tracks/1CoYysyP3yJMEmG3b6fm5T,https://api.spotify.com/v1/audio-analysis/1CoYysyP3yJMEmG3b6fm5T,270857,4
25,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
26,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
27,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
28,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
29,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
30,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
31,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
32,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
33,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
34,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
35,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
36,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
37,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
38,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
39,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
40,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
41,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
42,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
43,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
44,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
45,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
46,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
47,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
48,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
49,0.754,0.763,1,-6.57,1,0.295,0.32,0.0,0.143,0.704,159.963,audio_features,5ZcmLAogrj4HF8Odrz9XA2,spotify:track:5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/tracks/5ZcmLAogrj4HF8Odrz9XA2,https://api.spotify.com/v1/audio-analysis/5ZcmLAogrj4HF8Odrz9XA2,265693,3
